    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;    42228014.000;    69560928.000;    45354542.919;         116.271;          14.086;
   UNROLL3;    5529600;    23879078.000;    39806972.000;    26797168.675;         196.791;          19.870;
NOZERO + UNROLL;    5529600;    15599950.000;    26215020.000;    18887552.742;         279.202;          22.790;
       OMP;    5529600;    42884032.000;    46604967.000;    43055407.589;         122.480;           0.620;
    NOSQRT;    5529600;    30875053.000;    51813798.000;    34692119.858;         152.007;          21.323;
   ALLOPTS;    5529600;    10284791.000;    10951570.000;    10335624.647;         510.220;           0.479;
