    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;    43942384.000;    75215603.000;    48814481.278;         108.030;          20.801;
   UNROLL3;    5529600;    25148043.000;    42346486.000;    29338934.228;         179.742;          22.255;
NOZERO + UNROLL;    5529600;    22594384.000;    39488066.000;    27275032.597;         193.343;          23.592;
       OMP;    5529600;    44024938.000;    73967296.000;    48299654.025;         109.182;          19.200;
    NOSQRT;    5529600;    28602359.000;    36937240.000;    29741797.975;         177.307;           5.250;
   ALLOPTS;    5529600;    16362598.000;    32530602.000;    20036422.756;         263.193;          23.377;
