    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;    47921541.000;    85161359.000;    53194635.189;          99.135;          20.038;
   UNROLL3;    5529600;    26564414.000;    29004422.000;    27473733.111;         191.945;           1.266;
NOZERO + UNROLL;    5529600;    26403654.000;    44439253.000;    29604051.308;         178.132;          19.116;
       OMP;    5529600;    47855669.000;    61243408.000;    49510166.372;         106.512;           2.899;
    NOSQRT;    5529600;    43489686.000;    79415785.000;    48200934.256;         109.405;          16.700;
   ALLOPTS;    5529600;    19395566.000;    24687291.000;    20285408.019;         259.962;           6.547;
