    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;     8419137.000;    15190783.000;    11920753.822;         442.374;          20.895;
   UNROLL3;    5529600;     8452698.000;    15722157.000;    12167860.439;         433.391;          19.947;
NOZERO + UNROLL;    5529600;     8453950.000;    10075735.000;     8700465.900;         606.110;           2.857;
       OMP;    5529600;     8400152.000;    14785336.000;    11637929.058;         453.125;          21.068;
    NOSQRT;    5529600;     5687577.000;    12208527.000;     8540479.222;         617.464;          16.900;
   ALLOPTS;    5529600;     5764236.000;     9214581.000;     7429634.150;         709.784;          15.877;
