    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;    32581788.000;    50677419.000;    35133375.239;         150.098;           6.091;
   UNROLL3;    5529600;    19617740.000;    31685412.000;    21810828.369;         241.781;           6.539;
     MATHS;    5529600;    17242170.000;    43767964.000;    19658184.447;         268.257;          12.939;
