      base;    5529600;    39647754.000;    82448382.000;    45313956.142;         116.376;          11.731;
     base2;    5529600;    30938424.000;    72149349.000;    39270719.864;         134.284;          15.941;
     base3;    5529600;     5727734.000;    15276490.000;     7105170.350;         742.197;          18.947;
  basefast;    5529600;     2530842.000;     9435047.000;     3110016.986;        1695.630;          24.371;
baseunroll;    5529600;    26575063.000;    65891098.000;    30649548.461;         172.056;          14.974;
