      base;    5529600;    22693468.000;    73242442.000;    29245373.342;         180.317;          23.874;
     base2;    5529600;     5295830.000;    10494998.000;     6284286.108;         839.147;          12.356;
     base3;    5529600;     5523693.000;    14753288.000;     6541151.139;         806.194;          16.397;
  basefast;    5529600;     2002874.000;     5082620.000;     2455969.397;        2147.192;          18.427;
baseunroll;    5529600;     5449961.000;    16915907.000;     6711475.394;         785.734;          18.045;
