    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;     4628343.000;     6702736.000;     6064204.147;         869.601;          10.691;
   UNROLL3;    5529600;     6008236.000;     6869579.000;     6440869.614;         818.746;           0.889;
NOZERO + UNROLL;    5529600;     6413515.000;     7087818.000;     6451864.433;         817.351;           0.613;
       OMP;    5529600;     5450021.000;     7600326.000;     6569505.739;         802.714;           3.831;
    NOSQRT;    5529600;     6947424.000;    12742322.000;    10343915.786;         509.811;          18.045;
   ALLOPTS;    5529600;     6571621.000;    12621826.000;    10014441.247;         526.583;          15.648;
