    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;     2040215.000;    15326661.000;     3071120.531;        1717.105;          54.299;
   UNROLL3;    5529600;     2164882.000;    15971287.000;     3746529.586;        1407.553;          58.068;
NOZERO + UNROLL;    5529600;     2097261.000;    19352523.000;     3644306.189;        1447.035;          68.794;
       OMP;    5529600;     2063051.000;    15978925.000;     3088052.039;        1707.691;          63.643;
