    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;    31001733.000;    67723761.000;    36451433.267;         144.670;          11.986;
   UNROLL3;    5529600;    19570883.000;    44667721.000;    22914930.942;         230.131;          13.470;
NOZERO + UNROLL;    5529600;    16850013.000;    32383195.000;    18867930.828;         279.492;           9.620;
       OMP;    5529600;    30536237.000;    82374459.000;    39185520.333;         134.576;          20.365;
