    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;     8270701.000;    10290773.000;     8548155.183;         616.909;           4.537;
   UNROLL3;    5529600;     8055909.000;    10061093.000;     8407443.142;         627.234;           1.711;
NOZERO + UNROLL;    5529600;     8343187.000;    15307093.000;    11971688.731;         440.492;          19.899;
       OMP;    5529600;     8434629.000;    18864522.000;    12278147.028;         429.498;          19.428;
    NOSQRT;    5529600;     6783748.000;    15417539.000;     9263575.611;         569.266;          10.591;
   ALLOPTS;    5529600;     5702945.000;     9895513.000;     8405156.153;         627.405;          16.405;
