    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;    25499277.000;    73525831.000;    30203415.650;         174.597;          14.346;
   UNROLL3;    5529600;    16244540.000;    51746259.000;    19810334.525;         266.196;          21.381;
NOZERO + UNROLL;    5529600;    13824996.000;    35818229.000;    16840210.850;         313.146;          18.034;
       OMP;    5529600;    23060920.000;    54311014.000;    28313795.450;         186.250;          15.671;
