    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;     9374932.000;    10153797.000;     9531081.292;         553.288;           0.822;
   UNROLL3;    5529600;     9338827.000;    13388610.000;    10745947.017;         490.737;          13.093;
NOZERO + UNROLL;    5529600;     9360166.000;    10377603.000;     9510346.453;         554.495;           0.916;
       OMP;    5529600;     9433529.000;    16494760.000;    12863589.661;         409.951;          21.687;
    NOSQRT;    5529600;     6818391.000;    11487579.000;    10443685.064;         504.940;          14.399;
   ALLOPTS;    5529600;     6324744.000;    10666086.000;     9380903.347;         562.146;          16.400;
