    Kernel;   nb bytes;          min ns;          max ns;         mean ns;      MiB/s;                  stddev(%);
      BASE;    5529600;     5548388.000;     9049457.000;     6239129.281;         845.220;           9.422;
   UNROLL3;    5529600;     5688064.000;    10989169.000;     6477791.253;         814.080;          11.141;
NOZERO + UNROLL;    5529600;     5613401.000;    17220530.000;     7007669.764;         752.524;          20.249;
       OMP;    5529600;     5622580.000;    18644035.000;     6734433.528;         783.056;          18.809;
    NOSQRT;    5529600;     3934629.000;     9759624.000;     4686409.397;        1125.262;          14.829;
   ALLOPTS;    5529600;     4933298.000;    20831960.000;     7139052.694;         738.675;          17.650;
